==504533== NVPROF is profiling process 504533, command: ./fixedKCoreComputation 1000000 4999985 testGraph_1000000_4999985.txt 10
==504533== Profiling application: ./fixedKCoreComputation 1000000 4999985 testGraph_1000000_4999985.txt 10
==504533== Profiling result:
   Start  Duration  Name
154.09ms  11.680us  cuDeviceGetPCIBusId
194.16ms  3.0230us  cuDeviceGetPCIBusId
199.78ms  1.0360us  cuDeviceGetCount
199.78ms     399ns  cuDeviceGetCount
200.11ms     851ns  cuDeviceGet
200.11ms  1.0950us  cuDeviceGetAttribute
200.12ms     373ns  cuDeviceGetAttribute
200.12ms     395ns  cuDeviceGetAttribute
200.13ms     258ns  cuDeviceGet
200.13ms     313ns  cuDeviceGetAttribute
200.13ms     232ns  cuDeviceGetAttribute
200.13ms     302ns  cuDeviceGetAttribute
200.15ms     542ns  cuModuleGetLoadingMode
200.18ms     301ns  cuDeviceGetCount
200.18ms     212ns  cuDeviceGet
200.18ms  34.237us  cuDeviceGetName
200.22ms     562ns  cuDeviceTotalMem
200.22ms     552ns  cuDeviceGetAttribute
200.22ms     268ns  cuDeviceGetAttribute
200.22ms     322ns  cuDeviceGetAttribute
200.22ms     265ns  cuDeviceGetAttribute
200.22ms     368ns  cuDeviceGetAttribute
200.22ms  17.331us  cuDeviceGetAttribute
200.24ms     271ns  cuDeviceGetAttribute
200.24ms     255ns  cuDeviceGetAttribute
200.24ms     289ns  cuDeviceGetAttribute
200.24ms     296ns  cuDeviceGetAttribute
200.24ms     510ns  cuDeviceGetAttribute
200.24ms     324ns  cuDeviceGetAttribute
200.24ms     258ns  cuDeviceGetAttribute
200.24ms     279ns  cuDeviceGetAttribute
200.24ms     250ns  cuDeviceGetAttribute
200.24ms     269ns  cuDeviceGetAttribute
200.24ms     257ns  cuDeviceGetAttribute
200.24ms     258ns  cuDeviceGetAttribute
200.25ms     301ns  cuDeviceGetAttribute
200.25ms     257ns  cuDeviceGetAttribute
200.25ms     254ns  cuDeviceGetAttribute
200.25ms     255ns  cuDeviceGetAttribute
200.25ms     258ns  cuDeviceGetAttribute
200.25ms     279ns  cuDeviceGetAttribute
200.25ms     357ns  cuDeviceGetAttribute
200.25ms     253ns  cuDeviceGetAttribute
200.25ms     287ns  cuDeviceGetAttribute
200.25ms     305ns  cuDeviceGetAttribute
200.25ms     259ns  cuDeviceGetAttribute
200.25ms     253ns  cuDeviceGetAttribute
200.25ms     360ns  cuDeviceGetAttribute
200.25ms     278ns  cuDeviceGetAttribute
200.25ms     256ns  cuDeviceGetAttribute
200.25ms     255ns  cuDeviceGetAttribute
200.25ms     252ns  cuDeviceGetAttribute
200.25ms     255ns  cuDeviceGetAttribute
200.25ms     238ns  cuDeviceGetAttribute
200.26ms     254ns  cuDeviceGetAttribute
200.26ms     256ns  cuDeviceGetAttribute
200.26ms     253ns  cuDeviceGetAttribute
200.26ms     235ns  cuDeviceGetAttribute
200.26ms     257ns  cuDeviceGetAttribute
200.26ms     256ns  cuDeviceGetAttribute
200.26ms     237ns  cuDeviceGetAttribute
200.26ms     236ns  cuDeviceGetAttribute
200.26ms     236ns  cuDeviceGetAttribute
200.26ms     235ns  cuDeviceGetAttribute
200.26ms     234ns  cuDeviceGetAttribute
200.26ms     229ns  cuDeviceGetAttribute
200.26ms     255ns  cuDeviceGetAttribute
200.26ms     252ns  cuDeviceGetAttribute
200.26ms     308ns  cuDeviceGetAttribute
200.26ms     250ns  cuDeviceGetAttribute
200.26ms     254ns  cuDeviceGetAttribute
200.26ms     268ns  cuDeviceGetAttribute
200.26ms  88.251us  cuDeviceGetAttribute
200.35ms     291ns  cuDeviceGetAttribute
200.35ms     256ns  cuDeviceGetAttribute
200.35ms     349ns  cuDeviceGetAttribute
200.36ms     292ns  cuDeviceGetAttribute
200.36ms     265ns  cuDeviceGetAttribute
200.36ms     275ns  cuDeviceGetAttribute
200.36ms     340ns  cuDeviceGetAttribute
200.36ms     255ns  cuDeviceGetAttribute
200.36ms     239ns  cuDeviceGetAttribute
200.36ms     262ns  cuDeviceGetAttribute
200.36ms     267ns  cuDeviceGetAttribute
200.36ms     244ns  cuDeviceGetAttribute
200.36ms     254ns  cuDeviceGetAttribute
200.36ms     248ns  cuDeviceGetAttribute
200.36ms     251ns  cuDeviceGetAttribute
200.36ms     250ns  cuDeviceGetAttribute
200.36ms     253ns  cuDeviceGetAttribute
200.36ms     348ns  cuDeviceGetAttribute
200.36ms     260ns  cuDeviceGetAttribute
200.36ms     262ns  cuDeviceGetAttribute
200.36ms     281ns  cuDeviceGetAttribute
200.36ms  74.820us  cuDeviceGetAttribute
200.44ms     304ns  cuDeviceGetAttribute
200.44ms     309ns  cuDeviceGetAttribute
200.44ms     257ns  cuDeviceGetAttribute
200.44ms     266ns  cuDeviceGetAttribute
